	match_url	date	score	home	guests	winner	home_goals	guests_goals
0	https://ru.corner-stats.com/lokomotiv-m-tomsk-24-04-2010/premier-league-russia/match/75997	24/04/10	2 : 1	 локомотив 	 томь 	home	2	1
1	https://ru.corner-stats.com/dinamo-moscow-saturn-mosk-24-04-2010/premier-league-russia/match/75998	24/04/10	1 : 0	 динамо москва 	cатурн	home	1	0
2	https://ru.corner-stats.com/sibir-novosibirsk-cska-moscow-24-04-2010/premier-league-russia/match/75999	24/04/10	1 : 4	сибирь	 цска 	guests	1	4
3	https://ru.corner-stats.com/anzhi-makhachkala-rostov-19-04-2010/premier-league-russia/match/76000	19/04/10	1 : 2	 анжи 	 ростов 	guests	1	2
4	https://ru.corner-stats.com/spartak-nalchik-krylya-samara-18-04-2010/premier-league-russia/match/76001	18/04/10	1 : 0	спартак-нальчик	 крылья советов 	home	1	0
5	https://ru.corner-stats.com/saturn-mosk-spartak-m-18-04-2010/premier-league-russia/match/76002	18/04/10	0 : 0	cатурн	 спартак 	nobody	0	0
6	https://ru.corner-stats.com/terek-grozny-dinamo-moscow-18-04-2010/premier-league-russia/match/76003	18/04/10	1 : 1	 ахмат 	 динамо москва 	nobody	1	1
7	https://ru.corner-stats.com/alania-vladikavkaz-sibir-novosibirsk-17-04-2010/premier-league-russia/match/76004	17/04/10	2 : 1	алания	сибирь	home	2	1
8	https://ru.corner-stats.com/amkar-perm-rubin-kazan-17-04-2010/premier-league-russia/match/76005	17/04/10	0 : 1	 амкар 	 рубин 	guests	0	1
9	https://ru.corner-stats.com/cska-moscow-lokomotiv-m-17-04-2010/premier-league-russia/match/76006	17/04/10	1 : 1	 цска 	 локомотив 	nobody	1	1
10	https://ru.corner-stats.com/tomsk-zenit-st-petersburg-17-04-2010/premier-league-russia/match/76007	17/04/10	0 : 0	 томь 	 зенит 	nobody	0	0
11	https://ru.corner-stats.com/rubin-kazan-spartak-nalchik-12-04-2010/premier-league-russia/match/76008	12/04/10	1 : 1	 рубин 	спартак-нальчик	nobody	1	1
12	https://ru.corner-stats.com/rostov-amkar-perm-11-04-2010/premier-league-russia/match/76009	11/04/10	2 : 1	 ростов 	 амкар 	home	2	1
13	https://ru.corner-stats.com/alania-vladikavkaz-cska-moscow-11-04-2010/premier-league-russia/match/76010	11/04/10	1 : 3	алания	 цска 	guests	1	3
14	https://ru.corner-stats.com/zenit-st-petersburg-lokomotiv-m-11-04-2010/premier-league-russia/match/76011	11/04/10	1 : 0	 зенит 	 локомотив 	home	1	0
15	https://ru.corner-stats.com/sibir-novosibirsk-anzhi-makhachkala-11-04-2010/premier-league-russia/match/76012	11/04/10	2 : 4	сибирь	 анжи 	guests	2	4
16	https://ru.corner-stats.com/dinamo-moscow-tomsk-10-04-2010/premier-league-russia/match/76013	10/04/10	0 : 0	 динамо москва 	 томь 	nobody	0	0
17	https://ru.corner-stats.com/spartak-m-terek-grozny-10-04-2010/premier-league-russia/match/76014	10/04/10	2 : 1	 спартак 	 ахмат 	home	2	1
18	https://ru.corner-stats.com/krylya-samara-saturn-mosk-10-04-2010/premier-league-russia/match/76015	10/04/10	2 : 1	 крылья советов 	cатурн	home	2	1
19	https://ru.corner-stats.com/lokomotiv-m-dinamo-moscow-04-04-2010/premier-league-russia/match/76016	04/04/10	3 : 2	 локомотив 	 динамо москва 	home	3	2
20	https://ru.corner-stats.com/saturn-mosk-rubin-kazan-04-04-2010/premier-league-russia/match/76017	04/04/10	0 : 0	cатурн	 рубин 	nobody	0	0
21	https://ru.corner-stats.com/terek-grozny-krylya-samara-04-04-2010/premier-league-russia/match/76018	04/04/10	2 : 0	 ахмат 	 крылья советов 	home	2	0
22	https://ru.corner-stats.com/tomsk-spartak-m-04-04-2010/premier-league-russia/match/76019	04/04/10	2 : 2	 томь 	 спартак 	nobody	2	2
23	https://ru.corner-stats.com/spartak-nalchik-rostov-03-04-2010/premier-league-russia/match/76020	03/04/10	5 : 2	спартак-нальчик	 ростов 	home	5	2
24	https://ru.corner-stats.com/anzhi-makhachkala-alania-vladikavkaz-03-04-2010/premier-league-russia/match/76021	03/04/10	2 : 0	 анжи 	алания	home	2	0
25	https://ru.corner-stats.com/amkar-perm-sibir-novosibirsk-03-04-2010/premier-league-russia/match/76022	03/04/10	3 : 1	 амкар 	сибирь	home	3	1
26	https://ru.corner-stats.com/rostov-saturn-mosk-28-03-2010/premier-league-russia/match/76023	28/03/10	1 : 0	 ростов 	cатурн	home	1	0
27	https://ru.corner-stats.com/rubin-kazan-terek-grozny-28-03-2010/premier-league-russia/match/76024	28/03/10	0 : 0	 рубин 	 ахмат 	nobody	0	0
28	https://ru.corner-stats.com/spartak-m-lokomotiv-m-28-03-2010/premier-league-russia/match/76025	28/03/10	2 : 1	 спартак 	 локомотив 	home	2	1
29	https://ru.corner-stats.com/dinamo-moscow-zenit-st-petersburg-27-03-2010/premier-league-russia/match/76026	27/03/10	1 : 2	 динамо москва 	 зенит 	guests	1	2
30	https://ru.corner-stats.com/krylya-samara-tomsk-27-03-2010/premier-league-russia/match/76027	27/03/10	2 : 3	 крылья советов 	 томь 	guests	2	3
31	https://ru.corner-stats.com/sibir-novosibirsk-spartak-nalchik-27-03-2010/premier-league-russia/match/76028	27/03/10	0 : 2	сибирь	спартак-нальчик	guests	0	2
32	https://ru.corner-stats.com/anzhi-makhachkala-cska-moscow-26-03-2010/premier-league-russia/match/76029	26/03/10	1 : 2	 анжи 	 цска 	guests	1	2
33	https://ru.corner-stats.com/alania-vladikavkaz-amkar-perm-26-03-2010/premier-league-russia/match/76030	26/03/10	0 : 0	алания	 амкар 	nobody	0	0
34	https://ru.corner-stats.com/tomsk-rubin-kazan-22-03-2010/premier-league-russia/match/76031	22/03/10	0 : 1	 томь 	 рубин 	guests	0	1
35	https://ru.corner-stats.com/cska-moscow-dinamo-moscow-21-03-2010/premier-league-russia/match/76032	21/03/10	0 : 0	 цска 	 динамо москва 	nobody	0	0
36	https://ru.corner-stats.com/zenit-st-petersburg-spartak-m-21-03-2010/premier-league-russia/match/76033	21/03/10	1 : 1	 зенит 	 спартак 	nobody	1	1
